nama_kue,deskripsi,sejarah_kue,cara_pembuatan,daerah_kue,gambar,link_sumber
Adee,"Adee adalah salah satu kue tradisional khas Aceh yang terbuat dari campuran tepung terigu, daun pandan, gula, santan kental, vanili, air, telur ayam, garam, dan margarin. Kue ini secara umum mirip kue bingka (Aceh: bingkang), yaitu memiliki memiliki bagian bawah berwarna hijau dari ekstrak daun pandan dan bagian atas berwarna cokelat yang dihasilkan dari karamelisasi gula aren atau gula pasir.","Kue Adee pertama kali diproduksi oleh Ibu Maryam pada tahun 1967 di Dusun Dayah Kleng, Gampong Meunasah Balek, Kecamatan Meureudu, Kabupaten Pidie Jaya, Aceh. Awalnya, kue ini dibuat hanya berdasarkan pesanan. Seiring berjalannya waktu, keahlian pembuatannya diwariskan kepada anaknya Ibu Hamidah, dan produksi kue Adee mulai meningkat seiring permintaan pelanggan Pada tahun 1977, kemasan awal kue Adee menggunakan kotak berukuran sedang. Kemudian, seiring peningkatan permintaan, digunakan kotak kue bolu yang disesuaikan ukurannya. Popularitas kue ini semakin meluas, terutama di bulan Ramadan di Kota Meureudu, di mana kue ini dapat terjual puluhan loyang dalam waktu singkat. Awalnya hanya tersedia saat Ramadan, kue Adee kini dapat ditemukan di berbagai kota di Aceh, seperti Banda Aceh, Sigli, Bireun, Lhokseumawe, dan Langsa. Pada tahun 2007, kue Adee mulai dikemas lebih eksklusif sebagai oleh-oleh khas Kabupaten Pidie Jaya.","Pembuatan kue Adee secara tradisional menggunakan sabut kelapa (tapeh) sebagai bahan bakar. Adonan dimasukkan ke dalam loyang dan dibakar dengan metode tradisional yang menempatkan sabut kelapa di bagian atas dan bawah seng. Metode ini membantu kue lebih awet tanpa bahan pengawet. Proses pemanggangan juga dapat dilakukan menggunakan oven, atau memakai sejenis pemanggang berbahan seperti panci tahan api (neuleuk).",Aceh,https://drive.google.com/uc?export=view&id=1UeiuO6gmvqUkURsqCiN-czgKn_TIsIAz,https://id.wikipedia.org/wiki/Adee
Apam barenda,"Apam barenda adalah camilan khas dari Kota Barabai, Kabupaten Hulu Sungai Tengah, yang telah menjadi favorit masyarakat setempat dan para pengguna jalan umum. Camilan ini, sering kali dijuluki sebagai kue basah tradisional, memiliki cita rasa unik yang membuatnya diminati dan diincar oleh banyak orang. Selain menjadi camilan khas Kota Barabai, Apam Barenda juga memiliki variasi yang khas di daerah Samarinda, Kalimantan Timur. Dalam tradisi kuliner Samarinda, camilan ini biasanya dihidangkan pada acara-acara istimewa seperti aqiqah atau pesta pernikahan.","Sejarah kue Apam Barenda berawal dari tradisi masyarakat Banjar di Barabai, Kalimantan Selatan, yang gemar membuat kue dari bahan dasar alami seperti tepung beras, santan, dan gula merah. Kue ini dipercaya sudah ada sejak zaman dahulu dan awalnya dibuat oleh masyarakat sebagai sajian dalam acara adat, selamatan, dan kumpul keluarga. Nama Barenda sendiri diambil dari daerah asalnya, yaitu Barabai, tempat kue ini pertama kali populer. Proses pembuatannya dilakukan secara tradisional dengan cara dibakar atau dikukus menggunakan tungku, sehingga menghasilkan aroma khas dan daya tahan lebih lama tanpa bahan pengawet. Seiring waktu, Apam Barenda menjadi ikon kuliner khas Barabai, dijajakan di pasar maupun dijadikan oleh-oleh khas daerah Hulu Sungai Tengah, sebagai simbol warisan budaya dan cita rasa lokal masyarakat Banjar.","Camilan ini dibuat dengan bahan-bahan seperti tepung beras atau tepung ketan, kelapa parut, gula merah, dan mungkin juga bahan-bahan lain yang memberikan rasa spesifik pada kue ini. Apam Berenda terbuat dari campuran tepung beras yang diencerkan dengan santan, serta ditambahkan ragi sebagai pengembangnya. Proses pembuatannya melibatkan cetakan khusus berbentuk bulat, memberikan karakteristik unik pada kue ini.",Kota Barabai,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Apam_Barenda_001.jpg/500px-Apam_Barenda_001.jpg,https://id.wikipedia.org/wiki/Apam_barenda
Kue ape,"Kue ape atau serabi Jakarta merupakan jajanan khas dari Jakarta, yang memiliki bentuk menyerupai panekuk (pancake). Kue yang biasa dijajakan di jalan atau di depan sekolah ini dibuat dari tepung terigu yang dicampur dengan susu. Saat ini, Kue ape dijual dengan berbagai variasi warna dan taburan di atasnya (keju atau meses). Rasa serabi Jakarta terbilang sangat gurih dengan tekstur pinggiran yang renyah.","Kue berwarna hijau ini dikenal dengan nama Ape dalam Bahasa Betawi. Konon, nama tersebut berasal dari kebiasaan orang bertanya dalam logat Betawi, Ini kue ape yang kemudian menjadi sebutan untuk kudapan ini. Selain itu, kue ini juga memiliki nama lain, yaitu kue tetek, yang merujuk pada bentuknya.","Kue ape dibuat dari campuran tepung beras, tepung terigu, santan, gula, vanili, garam, serta sedikit baking powder atau ragi. Adonan diaduk hingga rata lalu didiamkan sebentar agar mengembang. Secara tradisional, kue ape dimasak menggunakan wajan kecil bertutup yang dipanaskan di atas bara api atau tungku. Adonan dituangkan sedikit demi sedikit ke tengah wajan panas, lalu dibiarkan menyebar ke tepi sehingga menghasilkan bagian tengah kue yang lembut dan tepi renyah tipis. Tutup wajan ditutup hingga kue matang dan muncul aroma harum santan. Dalam versi modern, kue ini bisa juga dibuat menggunakan kompor gas dengan wajan cekung kecil. Kue ape memiliki rasa manis, gurih, dan lembut di tengah dengan pinggiran garing, sering dijajakan sebagai jajanan pasar atau kue tradisional Betawi.",Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Kueape1.jpg/500px-Kueape1.jpg,https://id.wikipedia.org/wiki/Kue_ape
Apem,"Apem adalah makanan yang terbuat dari tepung beras yang didiamkan semalam dengan mencampurkan telur, santan, gula dan tape serta sedikit garam kemudian dibakar atau dikukus. Bentuknya mirip serabi, tetapi lebih tebal. Makanan ini berasal dari Jawa.","Menurut legenda, kue ini dibawa oleh Ki Ageng Gribig yang merupakan keturunan Prabu Brawijaya kembali dari perjalanannya dari tanah suci. Ia membawa oleh-oleh 3 buah makanan dari sana. Namun, karena terlalu sedikit, kue apem ini dibuat ulang oleh istrinya. Setelah jadi, kue-kue ini kemudian disebarkan kepada penduduk setempat. Penduduk yang berebutan mendapatkannya Ki Ageng Gribig meneriakkan kata yaqowiyu yang artinya Tuhan berilah kekuatan. Makanan ini kemudian dikenal oleh masyarakat sebagai kue apem, yakni berasal dari saduran bahasa arab affan yang bermakna ampunan. Tujuannya adalah agar masyarakat juga terdorong selalu memohon ampunan kepada Sang Pencipta. Lambat laun, kebiasaan membagi-bagikan kue apem ini berlanjut pada acara-acara selamatan menjelang bulan Ramadhan.","Bahan utama untuk membuat apem adalah beras, gula kelapa dan ragi. Aroma kue apam dapat menjadi harum jika dikukus menggunakan takir dari daun pandan. Jenis daun pandan yang dipakai adalah yang lebar. Daun pandan lebar juga dapat diganti dengan daun pisang yang kemudian dilapisi dengan beberapa lembar daun pandan.",Jawa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Apem_Side_View.jpg/500px-Apem_Side_View.jpg,https://id.wikipedia.org/wiki/Apem
Apem gula merah,"Apem gula merah adalah salah satu varian dari kue Apem. Apem gula merah merupakan kue tradisional Indonesia yang bisa ditemukan di Kalimantan Selatan, Lampung, dan Jawa Tengah. Kue ini terbuat dari bahan-bahan seperti tepung beras, kelapa parut, dan gula merah. Kue ini umumnya memiliki tekstur yang kenyal dan lembut. Proses pembuatannya melibatkan pencampuran bahan-bahan utama, seperti tepung beras dan kelapa parut, dengan larutan gula merah cair. Setelah itu, adonan dikukus atau dipanggang hingga matang. Gula merah, juga dikenal sebagai gula kelapa atau gula aren, memberikan rasa manis dan aroma khas pada apem gula merah. Kue ini sering dihidangkan sebagai makanan ringan tradisional atau sebagai bagian dari hidangan selama acara-acara khusus dan perayaan tertentu di Indonesia.","Apem gula merah adalah kue tradisional khas Jawa yang sudah dikenal sejak zaman dahulu. Kata apem diyakini berasal dari bahasa India Selatan, appam, sejenis kue kukus dari tepung beras yang dibawa oleh pedagang India ke Nusantara. Setelah diadaptasi dengan bahan lokal seperti gula kelapa dan santan, muncullah variasi rasa yang khas: apem gula merah.","Apem gula merah dibuat dari campuran tepung beras, tepung terigu, santan kelapa, gula merah, ragi, dan sedikit garam. Gula merah direbus bersama santan dan daun pandan hingga larut, lalu dicampurkan ke tepung untuk membentuk adonan yang lembut. Setelah ditambahkan ragi, adonan didiamkan agar mengembang. Proses pemasakan dilakukan dengan cara dikukus dalam cetakan kecil selama sekitar dua puluh menit hingga apem mengembang dan matang. Secara tradisional, beberapa daerah juga memanggangnya dengan bara api dari sabut kelapa di atas dan bawah wadah agar memberikan aroma khas dan membuat kue lebih tahan lama tanpa bahan pengawet. Apem gula merah memiliki rasa manis legit, tekstur lembut, serta aroma wangi gula kelapa yang khas.",Jawa,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Apam_Gula_Habang_001.jpg/500px-Apam_Gula_Habang_001.jpg,https://id.wikipedia.org/wiki/Apem_gula_merah
Bagea,"Bagea adalah kue tradisional khas Maluku, Maluku Utara, dan Kota Palopo, Sulawesi Selatan, Sulawesi Tenggara, Indonesia. Bagea biasanya berbentuk bulat dan warnanya cokelat pucat. Bagea adalah salah satu olahan dari sagu. Biasanya Bagea disantap dengan teh atau kopi. Di Ternate, Bagea biasanya ditambahkan dengan biji kenari. Bahan-bahan untuk membuat Bagea adalah gula halus, biji kenari yang telah dicincang, tepung sagu, minyak sayur, tepung terigu yang telah diayak, kacang tanah yang dicincang halus, kayu manis bubuk, dan cengkih bubuk.","Bagea adalah kue tradisional Maluku yang telah ada sejak masa kejayaan perdagangan rempah di kepulauan itu. Kue ini dibuat dari bahan lokal yang mudah didapat seperti sagu dan rempah-rempah, menggambarkan pengaruh kuat budaya pelaut dan pedagang di Maluku. Bagea dahulu dijadikan bekal perjalanan laut karena tahan lama dan tidak mudah basi, sehingga sangat berguna bagi masyarakat pesisir. Kini, Bagea menjadi oleh-oleh khas dari Ambon dan Tidore yang identik dengan rasa manis kayu manis dan tekstur keras yang meleleh di mulut.","Bahan utama Bagea adalah tepung sagu, gula, kacang tanah sangrai halus, dan kayu manis bubuk. Semua bahan diaduk hingga kalis, dibentuk bulat pipih kecil, lalu dipanggang di atas bara api atau oven hingga kering. Bagea tahan disimpan berbulan-bulan dan biasanya disantap bersama teh atau kopi.",Maluku,https://upload.wikimedia.org/wikipedia/commons/3/3c/A_few_bagaes_in_a_basket.jpg,https://id.wikipedia.org/wiki/Bagea
Balikuhai,"Balikuhai adalah nama kue khas dari kabupaten Hulu Sungai Tengah, Kalimantan Selatan, yang bentuknya seperti kue wafel. Perbedaan Balikuhai dengan wafel adalah penggunaan tepung yang digunakan, jika wafel menggunakan tepung terigu maka kue Balikuhai menggunakan tepung beras. Sehingga menghasilkan tekstur yang tidak terlalu sepadat wafel. Hal ini merupakan alkuturasi kuliner dimana resep aslinya yang dari peninggalan Belanda yang sempat menduduki wilayah tersebut, namun sudah diadopsi ke cita rasa orang Banjar. Dalam bahasa Banjar, Balikuhai berarti adalah kue yang dibolak-balik dan termasuk ke dalam golongan kue jaman dulu. Saat ini hanya tersisa dua orang penjual di Barabai, yaitu di pasar Barabai dan satu orang di pasar Pantai Hambawang.",Kue Balikuhai merupakan warisan kuliner tradisional Minahasa yang dulunya sering disajikan dalam upacara adat dan perayaan panen. Nama Balikuhai diambil dari istilah lokal yang merujuk pada proses pembuatan yang menggunakan daun pisang sebagai pembungkus. Kue ini menjadi simbol kebersamaan karena sering dibuat bersama keluarga besar dalam suasana gotong royong.,"Bahannya antara lain tepung beras, santan, gula merah, adas dan telur bebek. Santan akan direbus hingga mengeluarkan minyak kemudian dicampur dengan irisan gula merah, dan dituangkan sedikit demi sedikit ke tepung beras hingga menjadi adonan. Terakhir, ditambahkan kocokan telur bebek untuk menambah cita rasa, adonan kemudian dipanggang di cetakan yang sudah dipanaskan berbentuk hati atau persegi, kemudian balik-balik cetakan hingga matang di kedua sisi. Saat dipanggang, biasanya kue Balikuhai akan diberi percikan kocokan telur yang dicampur mentega menggunakan daun pandan.","Minahasa, Sulawesi Utara",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Wadai_Balikuhai.JPG/500px-Wadai_Balikuhai.JPG,https://id.wikipedia.org/wiki/Balikuhai
Baroncong,"Baroncong atau Buroncong (diucapkan : barnco?) atau juga Guroncong adalah nama kue tradisional khas masyarakat etnis Suku Makassar, Sulawesi Selatan Indonesia. Jenis kue ini memiliki rasa yang gurih, bentuknya seperti busur atau setengah lingkaran, Kue ini umumnya mudah ditemukan di pagi hari, khususnya di kawasan Pantai Losari, Kota Makassar Harganya berkisar antara Rp.1.500 - Rp. 3.000. Para penjual menjajakan kue ini dalam gerobak yang dilengkapi dengan cetakan khusus beserta kompornya. Para penjual kue Baroncong di Makassar dan Gowa kebanyakan adalah laki-laki yang disebabkan perlu tenaga lebih untuk mendorong gerobak jualan.","Baroncong adalah kue khas Makassar yang sudah ada sejak masa kerajaan Gowa-Tallo. Kue ini berkembang dari kebiasaan masyarakat Bugis-Makassar yang gemar membuat camilan manis dari kelapa dan tepung. Hingga kini, baroncong menjadi jajanan pagi atau sore yang banyak dijual di pasar tradisional.","Bahan-bahan dari kue ini adalah tepung terigu, gula pasir, parutan kelapa muda, dan penambah aroma rasa. Kue ini dipanggang dalam cetakan dan api berasal dari kayu bakar. Tepung terigu bisa digantikan dengan tepung talas tanpa mengubah rasa dan aroma hanya saja membuat kue berubah menjadi ungu. Cara membuatnya adalah dengan menyatukan semua bahan di dalam wadah dan mengaduknya hingga rata dengan air. Pastikan adonannya agak encer. Setelah adonan siap, dimasukkan ke cetakan baroncong yang telah panas oleh bara api yang sebelumnya telah dioles minyak kelapa menggunakan kuas atau daun pisang yang dibentuk mirip kuas agar adonannya tidak lengket. Setelah adonan terlihat mengembang dan pinggirnya berwarna cokelat pertanda telah matang. Kue baroncong diangkat menggunakan alat khusus menyerupai gancu.","Makassar, Sulawesi Selatan",https://drive.google.com/uc?export=view&id=1yUvY2Z5mZ4-ecBbeLns-3sBe1b7u1iY9,https://id.wikipedia.org/wiki/Baroncong
Bay tat,"Bay tat adalah salah satu jenis kue tradisional (juadah) khas Bengkulu. Dalam bahasa Rejang, kata bay artinya ibu, sedangkan tat artinya kue tar. Dahulu, kue bay tat adalah makanan kaum bangsawan, namun sekarang telah menjadi hidangan umum untuk hari raya, pesta, atau oleh-oleh. Kue ini bentuknya seperti roti padat yang agak tebal, yang cara memasaknya dengan dipanggang. Bahan-bahan yang dipakai untuk membuat adonan bay tat adalah terigu, mentega, telur, gula, dan santan. Bagian atas kue biasanya diberi hiasan selai nanas atau kelapa. Ada dua bentuk ukuran kue tat yang biasa dijual orang","Bay Tat adalah kue khas Bengkulu yang sudah dikenal sejak masa kolonial Inggris pada abad ke-19. Nama Bay Tat berasal dari kata Belanda taart yang berarti kue tart. Awalnya, kue ini hanya disajikan untuk bangsawan dan tamu istana, namun kini menjadi hidangan rakyat yang banyak dibuat pada hari raya dan hajatan. Bay Tat menjadi simbol perpaduan budaya Eropa dan tradisi lokal Bengkulu.","Kue ini terbuat dari campuran tepung terigu, mentega, telur, gula, dan selai nanas. Adonan kulit dioles di dasar loyang, dipanggang setengah matang, lalu diberi lapisan selai nanas dan dipanggang kembali hingga matang sempurna.",Bengkulu,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Kue_Bay_Tat_Bengkulu_IMG_20220529_205049_395.jpg/500px-Kue_Bay_Tat_Bengkulu_IMG_20220529_205049_395.jpg,https://id.wikipedia.org/wiki/Bay_tat
Bika,"Bika atau singgang adalah penganan tradisional berbahan dasar tepung beras dicampur kelapa parut dan gula pasir. Kue ini dibuat dengan cara menyendokkan adonannya di atas sehelai daun Waru lalu dimasak dalam wajan tanah liat yang dikepung bara api. Api yang digunakan untuk memasak memakai sabut kelapa dan kayu manis. Istilah bika berasal dari kata baka dalam bahasa Minang, yang berarti bakar, merujuk pada cara memasaknya. Makanan ini juga dinamakan sebagai bika bakar atau bika panggang untuk membedakannya dengan bika ambon. Bika menjadi kuliner khas Sumatera Barat yang mudah dijumpai di kedai khusus di tepi jalan.","Bika merupakan salah satu bentuk kue basah tradisional yang diduga berasal dari pengaruh kuliner Melayu. Istilah bika sendiri berasal dari adaptasi kata bika dalam bahasa Melayu lama yang berarti kue panggang. Versi awal bika diperkirakan telah ada jauh sebelum masa kolonial, dibuat oleh masyarakat Melayu Deli sebagai hidangan jamuan untuk tamu kehormatan dan upacara adat. Dari bentuk awalnya yang sederhana, bika berkembang menjadi berbagai variasi, salah satunya bika Ambon yang kemudian terkenal secara nasional. Kue ini melambangkan keramahan dan kebiasaan masyarakat Melayu dalam menjamu tamu dengan hidangan manis dan harum.","Bika dibuat dengan bahan dan olesan. Bahannya yaitu parutan kelapa muda, tepung ketan, gula pasir, gara, bubuk vanili, dan air. Adapun olesannya menggunakan margarin dan kuning telur. Telur untuk membuat bika bisa telur ayam atau telur bebek. Bika yang dibuat menggunakan telur bebek teksturnya akan terasa keras dan berwarna kuning.",Sumatera Barat,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Kue_Singgang.jpg/500px-Kue_Singgang.jpg,https://id.wikipedia.org/wiki/Bika
